z_index,z_obs,tage_gyr,mag_u,mag_b,mag_v,mag_sdss_g,mag_sdss_r
1,0.010102,1.468589,39.711106,38.596960,38.027761,38.360835,37.832450
1,0.010102,1.573489,39.810594,38.697811,38.123248,38.459835,37.926203
1,0.010102,1.678388,39.896365,38.780498,38.197611,38.539374,37.997672
1,0.010102,1.783287,39.980929,38.861038,38.268856,38.616346,38.065716
1,0.010102,1.888186,40.054488,38.928927,38.327009,38.680258,38.120848
1,0.010102,1.993085,40.128977,38.997304,38.385040,38.744385,38.175709
1,0.010102,2.097985,40.195106,39.059087,38.439385,38.803065,38.227785
1,0.010102,2.202884,40.261769,39.121149,38.493650,38.861859,38.279693
1,0.010102,2.307783,40.321888,39.174451,38.537478,38.911280,38.320359
1,0.010102,2.412682,40.378617,39.222987,38.575538,38.955551,38.354816
1,0.010102,2.517581,40.435617,39.271613,38.613597,38.999848,38.389287
1,0.010102,2.622480,40.488917,39.320913,38.657168,39.046765,38.430906
1,0.010102,2.727380,40.542715,39.370486,38.700744,39.093835,38.472452
1,0.010102,2.832279,40.595800,39.419023,38.743027,39.139758,38.512624
1,0.010102,2.937178,40.640604,39.458555,38.776299,39.176695,38.543720
1,0.010102,3.042077,40.685662,39.498115,38.809400,39.213567,38.574593
1,0.010102,3.146976,40.731045,39.537753,38.842366,39.250419,38.605276
1,0.010102,3.251875,40.770204,39.571761,38.870921,39.282122,38.632007
1,0.010102,3.356775,40.808367,39.604740,38.898561,39.312834,38.657879
1,0.010102,3.461674,40.846681,39.637690,38.926040,39.343454,38.683557
1,0.010102,3.566573,40.884250,39.670089,38.953231,39.373632,38.709030
1,0.010102,3.671472,40.917529,39.699881,38.979601,39.401979,38.734196
1,0.010102,3.776371,40.950879,39.729638,39.005856,39.430254,38.759224
1,0.010102,3.881271,40.984327,39.759384,39.032016,39.458480,38.784133
1,0.010102,3.986170,41.017669,39.788934,39.057926,39.486485,38.808780
1,0.010102,4.091069,41.046480,39.814411,39.080381,39.510677,38.830186
